,TLD,Alexa #,Domain #,Start Date,ASCII,Whois Server,Registry
1,com,495432,125989354,1/1/85,com,whois.verisign-grs.com,registry
2,net,51946,15669385,1/1/85,net,whois.verisign-grs.com,registry
3,org,46537,10907753,1/1/85,org,whois.pir.org,registry
4,info,10176,5492303,6/26/01,info,whois.afilias.net,registry
5,xyz,2224,2704745,2/6/14,xyz,whois.nic.xyz,registry
6,biz,3313,2182371,6/26/01,biz,whois.biz,registry
7,top,1447,2083549,7/24/14,top,whois.nic.top,registry
8,wang,28,1064835,12/12/13,wang,whois.gtld.knet.cn,registry
9,win,68,906894,2/5/15,win,whois.nic.win,registry
10,club,880,751335,1/9/14,club,whois.nic.club,registry
11,mobi,732,712379,10/17/05,mobi,whois.dotmobiregistry.net,registry
12,site,280,364969,3/6/15,site,whois.centralnic.com,registry
13,pro,681,362438,5/8/02,pro,whois.afilias.net,registry
14,link,279,358321,1/9/14,link,whois.uniregistry.net,registry
15,bid,76,350651,2/13/14,bid,whois.nic.bid,registry
16,�_Ԍ��,NA,333868,3/13/14,xn--ses554g,whois.registry.knet.cn,registry
17,science,27,324193,10/23/14,science,whois.nic.science,registry
18,red,60,306287,1/16/14,red,whois.afilias.net,registry
19,ren,5,298419,2/28/14,ren,whois.nic.ren,registry
20,online,482,256523,3/6/15,online,whois.centralnic.com,registry
21,party,15,237839,10/23/14,party,whois.nic.party,registry
22,loan,3,236459,2/5/15,loan,whois.nic.loan,registry
23,click,136,211063,8/15/14,click,whois.uniregistry.net,registry
24,date,17,180174,2/5/15,date,whois.nic.date,registry
25,website,253,145661,5/22/14,website,whois.nic.website,registry
26,space,243,141138,5/22/14,space,whois.nic.space,registry
27,kim,20,119567,12/19/13,kim,whois.afilias.net,registry
28,xin,4,113481,2/19/15,xin,whois.afilias-srs.net,registry
29,tech,497,102890,3/12/15,tech,whois.nic.tech,registry
30,cat,354,100210,12/19/05,cat,whois.cat,registry
31,xxx,432,99126,4/15/11,xxx,whois.nic.xxx,registry
32,lol,47,92515,4/23/15,lol,whois.uniregistry.net,registry
33,work,101,91422,8/18/14,work,whois-dub.mm-registry.com,registry
34,webcam,13,84027,3/6/14,webcam,whois.nic.webcam,registry
35,review,13,79422,2/5/15,review,whois.nic.review,registry
36,nyc,28,75447,3/13/14,nyc,whois.nic.nyc,registry
37,news,170,73952,3/12/15,news,whois.rightside.co,registry
38,realtor,3,73428,7/24/14,realtor,whois.nic.realtor,registry
39,trade,32,73228,3/6/14,trade,whois.nic.trade,registry
40,download,55,64770,2/5/15,download,whois.nic.download,registry
41,rocks,84,64411,1/16/14,rocks,whois.unitedtld.com,registry
42,london,22,62047,2/13/14,london,whois-lon.mm-registry.com,registry
43,guru,127,60060,10/31/13,guru,whois.donuts.co,registry
44,berlin,8,56866,12/19/13,berlin,whois.nic.berlin,registry
45,email,24,55741,12/19/13,email,whois.donuts.co,registry
46,one,52,55436,12/18/14,one,whois.nic.one,registry
47,faith,1,53635,2/5/15,faith,whois.nic.faith,registry
48,pub,18,51775,2/20/14,pub,whois.unitedtld.com,registry
49,ninja,74,51759,12/19/13,ninja,whois.unitedtld.com,registry
50,today,137,50685,11/13/13,today,whois.donuts.co,registry
51,����,NA,49932,1/9/14,xn--55qx5d,whois.ngtld.cn,registry
52,solutions,22,49671,12/19/13,solutions,whois.donuts.co,registry
53,help,18,49543,8/15/14,help,whois.uniregistry.net,registry
54,cloud,5,48347,6/18/15,cloud,whois.nic.cloud,registry
55,racing,2,48248,3/26/15,racing,whois.nic.racing,registry
56,photography,6,48222,11/13/13,photography,whois.donuts.co,registry
57,tokyo,136,47616,1/16/14,tokyo,whois.nic.tokyo,registry
58,jobs,144,46213,9/8/05,jobs,jobswhois.verisign-grs.com,registry
59,ovh,66,46118,5/1/14,ovh,whois-ovh.nic.fr,registry
60,company,27,45592,12/12/13,company,whois.donuts.co,registry
61,accountant,1,45569,2/5/15,accountant,whois.nic.accountant,registry
62,property,2,41050,8/15/14,property,whois.uniregistry.net,registry
63,blue,28,40458,1/23/14,blue,whois.afilias.net,registry
64,cricket,2,40221,11/13/14,cricket,whois.nic.cricket,registry
65,pink,28,39589,12/19/13,pink,whois.afilias.net,registry
66,design,29,38713,12/18/14,design,whois.nic.design,registry
67,live,31,36982,6/25/15,live,whois.rightside.co,registry
68,life,77,36096,5/8/14,life,whois.donuts.co,registry
69,�Ϭ���,NA,35960,12/19/13,xn--3ds443g,whois.afilias-srs.net,registry
70,tips,55,33369,11/13/13,tips,whois.donuts.co,registry
